Disease,Best_Foods,Worst_Foods,Best_Nutrition,Worst_Nutrition
dilated cardiomyopathy 1II,"['dressing', 'oyster crackers', ""redenbacher's popping oil""]","['marshmallows', 'pineapple']","['low cholesterol', 'low sodium']","['high calories', 'low iron']"
rectosigmoid junction cancer,"['cream cheese', 'salt', 'walnuts']","['cheddar cheese', 'sausage']","['high iron', 'low carbohydrate', 'low cholesterol']","['low magnesium', 'low potassium']"
X-linked deafness 1,"['oregano', 'pasta', 'spaghetti sauce']","['oil', 'vinegar']","['high iron', 'low cholesterol', 'low total fats']","['high calories', 'high sodium', 'low vitamin c']"
T2-high asthma,"['clove garlic', 'light olive oil']","['mixed salad greens', 'radishes']","['high calcium', 'high potassium']","['high cholesterol', 'low protein']"
Parkinson's disease 7,"['clove of garlic', 'eggs', 'romano cheese']","['baking potatoes', 'bread crumbs', 'parmesan cheese']","['high iron', 'low calories', 'low total fats']","['low calcium', 'low protein']"
musculoskeletal system cancer,"['green pepper', 'pork ribs']","['pepper cheese', 'swiss cheese']","['high protein', 'low carbohydrate', 'low sodium']","['high calories', 'low iron']"
renal hypoplasia,"['cooking oil', 'eggs']","['pepper', 'salt', 'sweet pickle']","['high fiber', 'low calories', 'low sodium']","['low calcium', 'low vitamin c']"
neonatal urinary tract infectious disease,"['garlic', 'lasagna noodles', 'sour cream']","['ground meat', 'salt']","['high magnesium', 'low calories', 'low sodium']","['high carbohydrate', 'high total fats', 'low calcium']"
hypomyelinating leukodystrophy 17,"['baking powder', 'beef broth', 'salt']","['onion', 'walnuts', 'water']","['high fiber', 'high protein', 'low sodium']","['low iron', 'low magnesium']"
renal pelvis inverted papilloma,"['bermuda onion', 'ground beef', 'hamburger rolls']","['brown sugar', 'pineapple']","['high calcium', 'low cholesterol']","['high total fats', 'low potassium']"
Stolerman neurodevelopmental syndrome,"['kidney beans', 'onion', 'salt']","['hamburger', 'mango']","['high iron', 'high potassium', 'high vitamin c']","['high calories', 'high carbohydrate', 'low protein']"
acromelic frontonasal dysostosis,"['chicken', 'fresh mushrooms', 'poultry seasoning']","['celery', 'cream of celery soup', 'cream of chicken soup']","['high protein', 'low calories', 'low sodium']","['high total fats', 'low fiber']"
pertussis,"['brown sugar', 'ketchup']","['hamburger', 'onion']","['high potassium', 'high protein']","['high cholesterol', 'low iron']"
small intestine carcinoma,"['frozen green beans', 'water']","['cheddar cheese', 'onion']","['high potassium', 'low cholesterol']","['low iron', 'low vitamin c']"
mucinous cystadenofibroma,"['eggplant', 'red peppers']","['frozen corn', 'ham']","['high magnesium', 'low carbohydrate']","['high calories', 'high total fats', 'low iron']"
IMAGe syndrome,"['onion', 'salt', 'sour cream']","['milk', 'red jello']","['high potassium', 'low calories']","['low calcium', 'low iron', 'low vitamin c']"
childhood central nervous system embryonal tumor,"['milk', 'pepper', 'pork chops']","['cornstarch', 'hot pepper sauce']","['high magnesium', 'high vitamin c', 'low total fats']","['low potassium', 'low protein']"
focal chorioretinitis,"['cheddar cheese', 'ground beef', 'whole kernel corn']","['eggplant', 'onion']","['high calcium', 'high magnesium', 'low sodium']","['high total fats', 'low fiber', 'low protein']"
Loeys-Dietz syndrome 4,"['clove garlic', 'margarine', 'pepper']","['butter', 'sweet potatoes']","['high calcium', 'high fiber', 'low calories']","['high total fats', 'low potassium']"
chronic purulent otitis media,"['eggs', 'milk', 'steak']","['mushrooms', 'pork chops', 'potatoes']","['high potassium', 'low calories', 'low cholesterol']","['low calcium', 'low iron']"
Bruck syndrome,"['cream of mushroom soup', 'onion soup', 'stew meat']","['milk', 'mushrooms', 'shrimp']","['high fiber', 'low calories', 'low sodium']","['high cholesterol', 'low calcium', 'low protein']"
Usher syndrome type 1G,"['cranberry sauce', 'orange rind', 'water']","['chili powder', 'salt', 'sugar']","['high calcium', 'high iron', 'high vitamin c']","['high total fats', 'low potassium', 'low protein']"
qualitative platelet defect,"['red potatoes', 'salt']","['chicken broth', 'rice']","['high protein', 'low calories', 'low carbohydrate']","['high total fats', 'low calcium', 'low fiber']"
atypical hereditary sensory neuropathy,"['jalapeno peppers', 'margarine', 'onion']","['chicken breast', 'fresh garlic', 'ground oregano']","['high magnesium', 'low total fats']","['high calories', 'low fiber', 'low vitamin c']"
congenital disorder of deglycosylation,"['milk', 'velveeta cheese']","['carrot chunks', 'pepper', 'tomato juice']","['high vitamin c', 'low cholesterol']","['high sodium', 'low calcium']"
chest wall parachordoma,"['butter', 'cheddar cheese', 'frozen white bread']","['butter', 'chicken broth', 'mustard']","['high fiber', 'low sodium']","['low calcium', 'low magnesium', 'low vitamin c']"
Hodgkin's lymphoma,"['carrot', 'water chestnuts']","['rosemary', 'thyme']","['high potassium', 'high vitamin c', 'low calories']","['low calcium', 'low fiber', 'low iron']"
benign familial neonatal epilepsy,"['marshmallows', 'sugar']","['sausage', 'velveeta cheese']","['high calcium', 'high fiber', 'low total fats']","['high sodium', 'low iron']"
Marfan syndrome,"['cheddar cheese', 'mustard', 'sausage']","['chicken', 'cream of chicken soup']","['high fiber', 'high protein', 'low total fats']","['low potassium', 'low vitamin c']"
macrotrabecular hepatoblastoma,"['flour', 'pepper', 'potatoes']","['french style green beans', 'ground beef', 'onion']","['high iron', 'low cholesterol']","['high calories', 'high carbohydrate', 'low fiber']"
hemarthrosis,"['carrots', 'soy sauce']","['bisquick mix', 'water']","['high magnesium', 'low cholesterol']","['high calories', 'high sodium', 'low protein']"
ovarian primitive germ cell tumor,"['flour', 'margarine', 'potatoes']","['milk', 'white pepper']","['high magnesium', 'high vitamin c']","['high calories', 'high carbohydrate', 'low protein']"
brachial plexus lesion,"['cream of chicken soup', 'swiss cheese', 'water']","['chicken bouillon granules', 'milk', 'salt']","['high potassium', 'low calories']","['low calcium', 'low iron', 'low protein']"
glycine encephalopathy,"['cinnamon', 'cloves']","['salt', 'water']","['high iron', 'low sodium']","['low fiber', 'low vitamin c']"
glycine N-methyltransferase deficiency,"['celery', 'red chilies', 'tomatoes']","['beef slices', 'cream cheese', 'dill pickles']","['high magnesium', 'high protein', 'low cholesterol']","['high carbohydrate', 'high total fats']"
chondrodysplasia-pseudohermaphroditism syndrome,"['egg', 'ground beef', 'worcestershire sauce']","['ground beef', 'onion']","['high iron', 'low calories', 'low carbohydrate']","['low fiber', 'low potassium', 'low protein']"
hordeolum externum,"['broccoli', 'hearts', 'italian salad dressing']","['eggnog', 'rum']","['high magnesium', 'high vitamin c', 'low total fats']","['high calories', 'low calcium', 'low iron']"
benign lymphoepithelial lesion of salivary gland,"['green pepper', 'rice']","['onions', 'pizza crust', 'shredded monterey jack cheese']","['high fiber', 'high iron']","['high total fats', 'low vitamin c']"
osteogenesis imperfecta type 21,"['cream of mushroom soup', 'mushrooms', 'onions']","['hot sauce', 'salt', 'vinegar']","['high iron', 'low cholesterol']","['low fiber', 'low vitamin c']"
hereditary spherocytosis type 3,"['chicken', 'cream of mushroom soup', 'rice']","['onion', 'potatoes']","['high iron', 'high protein']","['low fiber', 'low magnesium']"
vulvar syringoma,"['chicken', 'garlic powder', 'salt']","['chili powder', 'tomato sauce']","['high vitamin c', 'low cholesterol']","['high carbohydrate', 'low potassium']"
hepatobiliary disease,"['buttered coarse bread crumbs', 'pimento']","['apricot preserves', 'chicken', 'onion soup']","['high iron', 'high potassium']","['high cholesterol', 'high total fats', 'low vitamin c']"
carcinoma arising in nasal papillomatosis,"['crescent roll', 'fresh parsley', 'lemon juice']","['bananas', 'cranberry sauce', 'pineapple']","['high fiber', 'high magnesium', 'low sodium']","['high cholesterol', 'low iron']"
distal arthrogryposis type 3,"['parsley', 'tomatoes']","['parsley', 'turkey breast']","['low calories', 'low cholesterol']","['high total fats', 'low protein']"
combined oxidative phosphorylation deficiency 11,"['dates', 'nuts', 'sugar']","['containers', 'dill weed', 'garlic']","['high iron', 'low cholesterol', 'low sodium']","['low calcium', 'low fiber']"
breast ductal adenoma,"['asparagus', 'chicken', 'salt']","['cold milk', 'vanilla']","['high iron', 'low calories']","['high carbohydrate', 'high cholesterol', 'low calcium']"
cataract 18,"['boston lettuce', 'parsley']","['green pepper', 'macaroni', 'water']","['high vitamin c', 'low cholesterol', 'low total fats']","['low potassium', 'low protein']"
uterine benign neoplasm,"['almonds', 'sugar']","['pepper', 'tomato', 'white onion']","['high potassium', 'high protein', 'low cholesterol']","['low magnesium', 'low vitamin c']"
developmental and epileptic encephalopathy 26,"['almonds', 'cauliflowerets']","['garlic', 'paprika', 'shrimp']","['high fiber', 'low calories', 'low cholesterol']","['high total fats', 'low iron']"
dilated cardiomyopathy 1I,"['cheese', 'lemon pepper']","['eggs', 'red potatoes']","['high iron', 'high vitamin c', 'low sodium']","['high total fats', 'low protein']"
dental pulp disease,"['bread', 'parmesan cheese']","['fresh chives', 'salt']","['high fiber', 'high vitamin c']","['high sodium', 'low protein']"
congenital nystagmus 7,"['garlic', 'sour cream', 'yogurt']","['chili powder', 'ham', 'lemon']","['high calcium', 'high fiber']","['low iron', 'low potassium', 'low protein']"
endomyocardial fibrosis,"['cheese', 'tomatoes']","['olive oil', 'red peppers', 'red potatoes']","['low calories', 'low total fats']","['high cholesterol', 'low magnesium', 'low potassium']"
Usher syndrome type 1E,"['enrollado noodles', 'parmesan cheese']","['beef broth', 'beef chuck', 'worcestershire sauce']","['high vitamin c', 'low cholesterol']","['high calories', 'high total fats']"
staphyloenterotoxemia,"['celery stalks', 'lean ground beef', 'pepper']","['cinnamon', 'strawberries', 'sugar']","['high calcium', 'high vitamin c', 'low total fats']","['low fiber', 'low magnesium', 'low potassium']"
Bartholin's gland adenoma,"['lemon juice', 'mustard']","['celery', 'lemon juice', 'salt']","['high vitamin c', 'low carbohydrate', 'low sodium']","['high cholesterol', 'low potassium']"
absence epilepsy,"['flour', 'salt', 'water']","['chicken breasts', 'lemon', 'salt']","['high iron', 'high potassium', 'low calories']","['high carbohydrate', 'high cholesterol', 'low magnesium']"
childhood acute megakaryoblastic leukemia,"['salt', 'velveeta cheese']","['lemon pepper', 'peppercorns']","['high potassium', 'low cholesterol', 'low total fats']","['high sodium', 'low calcium', 'low iron']"
axillary adenitis,"['cherry pie filling', 'margarine', 'vanilla']","['black pepper', 'ground beef']","['high calcium', 'high protein']","['low fiber', 'low potassium']"
non-proliferative fibrocystic change of the breast,"['almonds', 'green pepper']","['butter', 'safflower oil', 'white onion']","['high iron', 'low cholesterol']","['high carbohydrate', 'high sodium']"
glycogen-rich clear cell breast carcinoma,"['eggs', 'mashed potatoes']","['butter', 'olive oil', 'soy sauce']","['high protein', 'low calories']","['high total fats', 'low calcium', 'low vitamin c']"
follicular mucinosis,"['chili powder', 'paprika']","['salt', 'vinegar']","['high calcium', 'high iron']","['high calories', 'high carbohydrate', 'low potassium']"
autosomal recessive nonsyndromic deafness 1A,"['broccoli', 'sugar']","['chicken', 'swiss cheese']","['high protein', 'low calories']","['high sodium', 'low fiber', 'low iron']"
primary bacterial infectious disease,"['cream of chicken soup', 'ketchup', 'onion']","['chicken broth', 'salt']","['high magnesium', 'low calories', 'low carbohydrate']","['high total fats', 'low vitamin c']"
spermatogenic failure 37,"['barbecue sauce', 'onion', 'sausage']","['butter', 'egg yolks', 'lemons']","['high vitamin c', 'low carbohydrate']","['low calcium', 'low protein']"
hallucinogen dependence,"['applesauce', 'cheddar cheese', 'nutmeg']","['eggs', 'pepper', 'pork tenderloin']","['high potassium', 'high protein']","['high calories', 'low magnesium', 'low vitamin c']"
congenital disorder of glycosylation type I,"['cheese', 'onion']","['parmesan cheese', 'salt', 'spaghetti sauce']","['high protein', 'low cholesterol']","['high total fats', 'low fiber']"
uterine corpus lipoleiomyoma,"['frozen shrimp', 'oleo', 'onion flakes']","['baking powder', 'bulk sausage', 'milk']","['high iron', 'high magnesium']","['high cholesterol', 'low protein']"
glycogen storage disease IV,"['cream of mushroom soup', 'ground beef', 'onion']","['bread crumbs', 'cream cheese']","['high protein', 'low cholesterol', 'low total fats']","['high sodium', 'low vitamin c']"
stromal corneal pigmentation,"['allspice', 'brown sugar', 'nutmeg']","['noodles', 'pepper']","['high fiber', 'high protein']","['high carbohydrate', 'low vitamin c']"
Alpers-Huttenlocher syndrome,"['cooking oil', 'egg', 'thyme']","['pepper', 'tomato soup']","['high magnesium', 'low carbohydrate', 'low sodium']","['low iron', 'low vitamin c']"
myelodysplastic/myeloproliferative neoplasm,"['onion', 'sour cream', 'tomatoes']","['marjoram', 'onion']","['high potassium', 'high vitamin c', 'low total fats']","['high cholesterol', 'high sodium']"
angiodysplasia of intestine,"['cheddar cheese', 'onion']","['cheddar cheese', 'parmesan cheese']","['high protein', 'low cholesterol', 'low sodium']","['high calories', 'high carbohydrate', 'low magnesium']"
Bartholin's gland disease,"['celery', 'corn meal', 'garlic']","['chicken', 'flour', 'salt']","['low calories', 'low total fats']","['high cholesterol', 'low iron']"
diverticulitis of colon,"['chicken', 'dill weed']","['chicken broth', 'onion', 'shrimp']","['high magnesium', 'low calories', 'low cholesterol']","['high total fats', 'low iron']"
occupational dermatitis,"['carrots', 'chablis', 'sugar']","['fried crisp bacon', 'milk', 'pepper']","['low carbohydrate', 'low sodium']","['high total fats', 'low protein']"
heart conduction disease,"['bacon', 'mayonnaise', 'olives']","['eggs', 'salt', 'veal chops']","['high iron', 'low carbohydrate', 'low cholesterol']","['low magnesium', 'low vitamin c']"
lissencephaly 4,"['chicken cutlets', 'sour cream']","['green onions', 'ramen noodles', 'sunflower seeds']","['high calcium', 'high vitamin c', 'low cholesterol']","['high carbohydrate', 'low iron', 'low potassium']"
